"","Ferrari_RB867515_2011_07_soilID","Ferrari_RB867515_2011_07_adev","Ferrari_RB867515_2011_07_soilID","Ferrari_RB867515_2011_07_adev","Ferrari_RB966928_2011_07_soilID","Ferrari_RB966928_2011_07_adev"
"154","BMSE080007",0.206000000000003,"BMSE080007",0.206000000000003,"BMSE080007",1.554
"81","BMWNTBR075",1.21299999999999,"BMWNTBR075",1.21299999999999,"BMIG080008",8.87
"7","BMWLPBR018",6.401,"BMWLPBR018",6.401,"BMSE080008",10.509
"132","BMIG080002",7.405,"BMIG080002",7.405,"BMWNTBR075",13.542
"116","BMIT080091",10.148,"BMIT080091",10.148,"BMIG080002",15.727
"137","BMIG080008",12.332,"BMIG080008",12.332,"BMWLPBR018",17.216
"155","BMSE080008",13.222,"BMSE080008",13.222,"BMIT080091",17.245
"151","BMSE080004",13.7,"BMSE080004",13.7,"BMSE080004",19.405
"141","BMCA080013",14.113,"BMCA080013",14.113,"BMGO750001",22.108
"136","BMIG080007",15.983,"BMIG080007",15.983,"BMCA080013",22.202
"205","BMGO750001",16.342,"BMGO750001",16.342,"BMSE080006",23.711
"153","BMSE080006",17.07,"BMSE080006",17.07,"BMIG080007",24.339
"179","BMIP810001",18.925,"BMIP810001",18.925,"BMIP810001",24.738
"152","BMSE080005",20.603,"BMSE080005",20.603,"BMSE080005",27.909
"123","BMVE080006",24.303,"BMVE080006",24.303,"BMMZ850001",34.181
"103","BMMZ850001",25.012,"BMMZ850001",25.012,"BMCO080002",35.887
"114","BMPI080001",25.48,"BMPI080001",25.48,"BMVE080006",36.207
"177","BMCN750001",26.846,"BMCN750001",26.846,"BMCN750001",38.265
"138","BMIG080009",26.931,"BMIG080009",26.931,"BMPI080001",38.478
"150","BMSE080003",27.517,"BMSE080003",27.517,"BMUN810001",39.388
"186","BMUN810001",27.931,"BMUN810001",27.931,"BMSE080003",39.944
"134","BMIG080004",28.5,"BMIG080004",28.5,"BMIG080009",40.606
"118","BMCA080002",28.673,"BMCA080002",28.673,"BMIG080004",41.257
"135","BMIG080005",29.791,"BMIG080005",29.791,"BMCA080002",42.9
"122","BMVE080005",29.877,"BMVE080005",29.877,"BMIG080005",44.699
